rotation_deg,Fx,Fy,Fz,Tau_x,Tau_y,Tau_z,Torque_Mag
137,0.94778865599125,-0.8876463408342725,0.0007237480083426832,-0.9402411831602745,-0.3902830353193775,2.2091584209377095,2.432438130553115
138,0.9628040171867365,-0.8700708847444586,0.0007225623443375006,-0.9408173823435896,-0.3978953061060995,2.3002118892975574,2.5168299023189764
139,0.9775396990950496,-0.8522749072397591,0.0007137982042957516,-0.9390117496529401,-0.40409548900886433,2.390789451844693,2.6001750774275636
140,0.99199510415501,-0.8342665863475722,0.0006966714987756807,-0.9349034390873088,-0.40872118351707903,2.480338924270014,2.682010183709564
141,1.0061677199657122,-0.8160511378252137,0.0006701182047110975,-0.9285411746884448,-0.41160653501559114,2.5683159785757272,2.761857277008849
142,1.0200545903394767,-0.7976292355925902,0.0006320151371728638,-0.9196001393437552,-0.4123015856366038,2.655911048313138,2.84069014683955
143,1.0336524156851943,-0.7790054368923278,0.0005835539350798517,-0.9083764718409015,-0.41083147389501534,2.742261037999293,2.917863244750486
144,1.04695801851802,-0.7601869136141035,0.0005221226326126298,-0.894629406719492,-0.40674635915906027,2.826180679225018,2.9921733919813547
145,1.0599678920726365,-0.7411791454681398,0.00044704693870077893,-0.8785030502859732,-0.39982965619244815,2.90717380683623,3.0632157786364624
146,1.0726825652765504,-0.7219896283520578,0.00035538090336605815,-0.8595929918438808,-0.38931362212503706,2.984864368788659,3.1304760832920207
147,1.085096449328503,-0.7026195687149945,0.0002477288149172789,-0.8382746250729155,-0.37511208100438814,3.059298113150845,3.1941694328079877
148,1.0972057213720292,-0.6830736898618516,0.00012323082631456926,-0.8146944971184575,-0.35706924239309124,3.1301865037406857,3.2541194071051867
149,1.1090060776875408,-0.6633604819140413,-1.8762254404498645e-05,-0.7892435205547618,-0.3350322823845205,3.195707445749232,3.308730578907043
150,1.1204948225341946,-0.6434826773113347,-0.0001778768202279993,-0.7619371708098058,-0.308676312197633,3.2563249886349803,3.35849397045494
151,1.1316683681268016,-0.6234469067694481,-0.00035418061927029867,-0.7329123275485294,-0.2777188300975453,3.310434326766862,3.4019499791001806
152,1.142526439241302,-0.6032633376128911,-0.0005464089788498388,-0.7024649733510288,-0.24239716113740636,3.3564578168196926,3.437735082667446
153,1.1530682122015299,-0.5829382118377258,-0.0007541524213451406,-0.6710364611349273,-0.20290206821644197,3.393800425092044,3.4654495389218893
154,1.1632908685010532,-0.5624799858519886,-0.000976871138152279,-0.6387424864979075,-0.15908832131677106,3.4208964443883487,3.4836523278401024
155,1.1731929783869623,-0.5418944461453623,-0.0012116802157241355,-0.6060654610331138,-0.11165602225164599,3.4372096258103157,3.492018387999329
156,1.1827751362734555,-0.5211879376119868,-0.0014590332053739932,-0.5730938409691165,-0.06049987747127773,3.4419896286216938,3.4898981918202256
157,1.1920297366263435,-0.5003630352877569,-0.0017175094727584004,-0.5400670571231257,-0.006123713165152137,3.4346553061277794,3.4768616593077546
158,1.2009549209001347,-0.47942258313849656,-0.001985813779708212,-0.5073173884840327,0.05141074535941303,3.415337742683699,3.453193578992706
159,1.2095489814834466,-0.45837454285228657,-0.0022633587890688272,-0.47527977495133983,0.11204313968287655,3.3830026509580766,3.4180625310279455
160,1.2178044405650594,-0.4372211193658923,-0.0025491272042288318,-0.4440252117513171,0.1756580734840879,3.337392795755651,3.371380254526722
161,1.2257242628784013,-0.41597052797352035,-0.002842229292048713,-0.4138937647423364,0.24229068188642822,3.277837362136294,3.3127376285540926
162,1.2333070468735612,-0.3946267938711076,-0.00314225385375102,-0.3850256961100891,0.311404283592816,3.204425562745051,3.242462120315201
163,1.2405502838624436,-0.3731992490273141,-0.0034487833628637212,-0.3574446605624384,0.3830695652433183,3.1155198122049272,3.1592677438643477
164,1.247446467006836,-0.35168904660314404,-0.0037606565962190297,-0.33159800482403023,0.4570857498775167,3.011558912267164,3.0640449901396933
165,1.2539984469165892,-0.33009749679940936,-0.004076391785018824,-0.30793620223360324,0.5329366242166186,2.8940465569148826,2.9587753587706427
166,1.260204543567403,-0.30842533706649716,-0.004395458749054912,-0.28636192906097074,0.6102361905666952,2.7644301057906127,2.845428820493384
167,1.26606237811521,-0.2866761333320473,-0.004715884853984672,-0.26732919115846465,0.6882907457621723,2.623200147867564,2.7251400079481596
168,1.2715638426196993,-0.26485132852786,-0.0050375303556385465,-0.25102197151371247,0.7668821201367976,2.47115237253856,2.5995603983502855
169,1.2767124134324532,-0.2429534520639653,-0.005359080303997526,-0.2374084973434025,0.8458088103821069,2.3101566161432947,2.471553950340046
170,1.2815029700890308,-0.2209855111885939,-0.005680095225044523,-0.22645977766015168,0.9251151871637437,2.1407163704307792,2.343029816081994
171,1.285931339949242,-0.19894787244552045,-0.005998951006163535,-0.21831138775459802,1.0040692374282343,1.9646076185335544,2.2170922376782474
172,1.2899906373643535,-0.17684094640602246,-0.006315553631172527,-0.21316659019241255,1.0825974031521912,1.7836155425606288,2.097317700337737
173,1.2936807236321584,-0.15466413187606656,-0.00662968494276347,-0.21106677572173405,1.1605058944189457,1.6004038064772432,1.9881185725659158
174,1.2970027796812442,-0.1324207337799847,-0.00693963142007149,-0.21199657498734137,1.237420920223383,1.4161052693452052,1.8924870449966371
175,1.2999552709414657,-0.11011257866869423,-0.007243717708898375,-0.2159432277714913,1.3133530544054166,1.2324431406625191,1.8139580530162491
176,1.3025326815992875,-0.08774079906887396,-0.00754125355471972,-0.22288699562730246,1.3881144147419422,1.0509740155890561,1.7553024305450942
177,1.3047292165928854,-0.06530772646203908,-0.007831802668697554,-0.23275975445208913,1.4609944236545978,0.8732471299708161,1.7179180304207458
178,1.3065412037930906,-0.04281765003431586,-0.008116115219391632,-0.24546955201604911,1.5319572591364845,0.6997521685455222,1.7019992485815294
179,1.3079643396540415,-0.02027254959937248,-0.008393058295676959,-0.2610645408311514,1.600809935164813,0.5319280613824587,1.7069547754664895
180,1.3089991184743985,0.00232426871441371,-0.008660317002773824,-0.27945503786128484,1.6668912686292476,0.3710874968415375,1.730412537498094
181,1.3096424256594412,0.024967315563630108,-0.008918662987193645,-0.3003019226476286,1.7303156358118446,0.21768640418032675,1.7696216586733364
182,1.3098841685635907,0.04765047971222162,-0.009167076609548169,-0.32363945586437437,1.791067529620723,0.07230592693858041,1.821508589088812
183,1.3097204593487517,0.070364304362524,-0.009404863405303492,-0.3491504600219163,1.8489480825086404,-0.06650712040351561,1.8828006406973261
184,1.3091470262169003,0.09310021908335307,-0.009631189172001264,-0.37660479495183646,1.9034166996418056,-0.1989754724654088,1.9504916156443357
185,1.3081563142165238,0.11584819820909506,-0.00984697429485,-0.40574297744719,1.9548869619646285,-0.325561967578807,2.0229189288107396
186,1.3067468170338323,0.1386019739862708,-0.010052058082879473,-0.43615643509390456,2.0033569415212633,-0.44582081207316715,2.098196289076127
187,1.3049141295230073,0.161353176975007,-0.010244837644302972,-0.46781346380767946,2.0482795533112097,-0.5599068735908345,2.1743491606746996
188,1.3026489126814793,0.18409155590397938,-0.010426200788699208,-0.5006555870155921,2.089828660850058,-0.6678160786919672,2.250337344373014
189,1.2999478979248325,0.20681081356408576,-0.010596911794580843,-0.5345960884125026,2.1283072481461356,-0.7681619763284083,2.3249854928868032
190,1.2968138368705535,0.22949889710835342,-0.010758097385687875,-0.5693179402363714,2.163730077904307,-0.8621891810880901,2.397753313226387
191,1.2932429869570001,0.2521438692447781,-0.010910926030665903,-0.6048060156736851,2.1964388664540375,-0.9511244795610767,2.468759159230666
192,1.2892364333106174,0.2747358403039662,-0.011055344645748276,-0.6409705067938877,2.2262999371825853,-1.0351315635813396,2.5374695968230134
193,1.2847906568605039,0.29726443966494026,-0.011191617245304064,-0.6775773676237167,2.253540069925749,-1.1141146934437607,2.6036139279901156
194,1.2799077554632468,0.31972152564279366,-0.011319802377799346,-0.7145008405992437,2.2783701882160687,-1.1880151532175773,2.6669949700071305
195,1.2745880602784796,0.34209712248390195,-0.011439913376915814,-0.7514582599353837,2.300324614739299,-1.2571115240451431,2.726996925830266
196,1.268834381380286,0.36437813195637186,-0.011550765381644474,-0.7885265655471135,2.3193098643870447,-1.323196378371877,2.7842092319639034
197,1.2626459926332227,0.3865564565747019,-0.011653105391723702,-0.8255943307923008,2.3356579219760985,-1.3857953333816986,2.838544104562863
198,1.2560218788031134,0.4086233377803975,-0.011746394634508866,-0.8624246656092885,2.3492220646954594,-1.4445645397271236,2.8895306405262997
199,1.248967334228088,0.43057019434811056,-0.011830654688736418,-0.8988826478487167,2.359872117368025,-1.4993778788506882,2.936855537564174
200,1.2414845337118534,0.4523861817075155,-0.011905727492093829,-0.9350799721257503,2.3673820417084146,-1.5507805186538823,2.9805691575117996
201,1.233579967085515,0.4740629436322747,-0.011969398850944111,-0.9706645025351741,2.3712553472722417,-1.5988157982051745,3.0201412971977826
202,1.2252540177788105,0.49559022665190783,-0.012022444423852757,-1.0052884891615137,2.3716329392974966,-1.643776584973231,3.05569128128281
203,1.2165100671763258,0.5169590089141158,-0.012064137449122627,-1.039023712323553,2.3682957439222387,-1.6860833646112534,3.0872758409104963
204,1.2073512227284549,0.5381598320203497,-0.012096184223412984,-1.0721170416235677,2.361837040415173,-1.7261810745622639,3.1156717186818166
205,1.1977834707223727,0.5591825076402619,-0.012117913351156133,-1.1041434971824193,2.3522346456467855,-1.7645390782698913,3.140977371662018
206,1.1878072844481795,0.5800146061807766,-0.012129858643127081,-1.1351072236163444,2.339752410079397,-1.802219796793207,3.1640015716702323
207,1.177427941994533,0.6006492933833336,-0.012132364984679457,-1.1648459934689455,2.3244828223898426,-1.8389016638688587,3.184595093487673
208,1.166649544123333,0.6210763479809517,-0.01212497776794669,-1.1933319240287132,2.306176850765475,-1.8752905845823673,3.202999769674658
209,1.1554791759261027,0.6412904946083586,-0.012106759455848687,-1.220573210421453,2.2846455792039317,-1.9106776878416925,3.218709929675347
210,1.1439203769405843,0.6612815612276501,-0.012079758954205254,-1.2466429501409473,2.260462499657892,-1.9457171339730825,3.2325878987170875
211,1.1319763878012212,0.681040019382944,-0.012043740554794825,-1.2713614676447413,2.233429174921839,-1.980006104431783,3.244224103601809
212,1.1196537710632823,0.7005614299897474,-0.011999491055277603,-1.2946993829661044,2.204014034156713,-2.0127825790468226,3.253493209694303
213,1.1069558749234922,0.7198385349263176,-0.011946131648972578,-1.3164425821926564,2.1719579130844755,-2.0430265231606044,3.259506039687309
214,1.0938874424179124,0.7388622065519665,-0.011883454032525139,-1.335998552462657,2.1367956244089203,-2.0710086107622114,3.2618804911471924
215,1.0804589200351364,0.7576286312568636,-0.0118108671475719,-1.3534855567394815,2.098541747190796,-2.0967434460342376,3.2606952779265517
216,1.0666783251937237,0.776132497708253,-0.011727725653192828,-1.3689692136252904,2.0574809810883146,-2.12035708962355,3.2562584177105522
217,1.0525592027265045,0.7943673816782476,-0.011633551141260882,-1.3820785833914733,2.013074771476274,-2.1432134633307767,3.248996028871986
218,1.0381082672543442,0.8123280758868878,-0.0115306127447149,-1.3929232776168625,1.965793751012058,-2.1652137106063094,3.239248484053439
219,1.023331920378725,0.8300091996276502,-0.011419459992733987,-1.401430749260897,1.915863749145654,-2.1866279412396716,3.2273648389474725
220,1.0082393805641388,0.8474077767192921,-0.011299105229581842,-1.407344278936922,1.8629671783392765,-2.2071183270427035,3.2128859202582456
221,0.992840711905006,0.8645206905181584,-0.011170572349632478,-1.4107390289964834,1.8075320012933214,-2.227108434364735,3.1964618755824263
222,0.9771476864653477,0.8813465501744292,-0.01103467167023886,-1.4116555413946335,1.7502382630547513,-2.2469631688359724,3.1788282160438435
223,0.9611767508626915,0.8978888231326619,-0.010892179060222782,-1.4100728511139813,1.691173855856817,-2.2669191233269013,3.160268464527584
224,0.9449329869054968,0.9141470365836635,-0.010742502265707794,-1.4059244080257238,1.6303829812263144,-2.2861002260572842,3.1402271176037657
225,0.9284244329421529,0.9301205832557662,-0.010584281497232827,-1.3990833370972793,1.5680167419453257,-2.3044112806970327,3.118721218347006
226,0.9116616010876726,0.9458129989726276,-0.010419004179362434,-1.3897048785284238,1.5040875987378641,-2.321378952118837,3.0955386273511567
227,0.8946532480237513,0.961228385274523,-0.010248093543160391,-1.3781273082367071,1.4389452439249975,-2.335703264912645,3.0700664544022027
228,0.877407473170539,0.9763694476970638,-0.010072028381797354,-1.364113014689739,1.3729681618139356,-2.346891603141259,3.0419970557342118
229,0.8599340921913825,0.9912432751971685,-0.009891332275769767,-1.3478672317580753,1.3067442684897692,-2.354277379676575,3.0111374326215734
